Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId	SourceDisplayName
How do I provide product feedback and feature recommendations?	We encourage customers to [voice their concerns](https://feedback.azure.com/d365community/forum/09041fae-0b25-ec11-b6e6-000d3a4f0858) publicly and to up-vote others who have done the same where potential issues overlap. You can use the feedback tool for both product feedback and feature recommendations.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	17	CS FAQ
What status messages and errors do Cognitive Services containers return?	Here are the status messages and errors:\n\n| Status | Description |\n| --- | --- |\n| Valid | Your API key is valid. No action is needed. |\n| Invalid | Your API key is invalid. You must provide a valid API key to run the container. Find your API key and service region in the Azure portal, in the Keys and Endpoint section for your Cognitive Services resource. |\n| Mismatch | You've provided an API key or endpoint for a different kind of Cognitive Services resource. Find your API key and service region in the Azure portal, in the Keys and Endpoint section for your Cognitive Services resource. |\n| CouldNotConnect | The container couldn't connect to the billing endpoint. Check the Retry-After value and wait for this period to end before you make more requests. |\n| OutOfQuota | The API key has exceeded the quota. You can either upgrade your pricing tier or wait for additional quota to become available. Find your tier in the Azure portal, in the Pricing Tier section of your Cognitive Service resource. |\n| BillingEndpointBusy | The billing endpoint is currently busy. Check the Retry-After value and wait for this period to end before you make more requests. |\n| ContainerUseUnauthorized | The provided API key is not authorized for use with this container. You're likely using a gated container, so make sure your Azure subscription ID is approved by submitting an [online request](https://aka.ms/csgate) . |\n| [ERROR] Failed to download: context deadline exceeded | The model file download request to our servers timed out. Please make sure you have a strong Internet connection to download all required files within one hour. Model downloads apply to Text Translation and some Speech Services containers. |\n| Unknown | The server is currently unable to process billing requests. |	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	18	CS FAQ
How do I get support?	Customer support channels are the same as for the Cognitive Services cloud-based APIs. All Cognitive Services containers include logging features that will help us and the community support customers. Here are options for more support:\n\n*   Find contact information in your [Azure support plan](https://azure.microsoft.com/support/plans/).\n\n*   Try these areas of Stack Overflow , a question-and-answer site for professional and enthusiast programmers: \n    *   [Azure Cognitive Services](https://stackoverflow.com/questions/tagged/azure-cognitive-services)\n    *   [Microsoft Cognitive](https://stackoverflow.com/questions/tagged/microsoft-cognitive)	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	19	CS FAQ
How does billing work?	Customers are charged based on consumption, similar to the Cognitive Services cloud. The containers need to be configured to send metering data to Azure, and transactions will be billed accordingly. Resources used across the hosted and on-premises services will add to the single quota with tiered pricing, counting against both usages. For more information, see the following pricing pages:\n\n*   [Anomaly Detector](../anomaly-detector/anomaly-detector-container-howto#billing)\n\n*   [Computer Vision](https://learn.microsoft.com/en-us/azure/cognitive-services/computer-vision/computer-vision-how-to-install-containers)\n\n*   [Face](https://learn.microsoft.com/en-us/azure/cognitive-services/face/overview)\n\n*   [Form Recognizer](../../applied-ai-services/form-recognizer/containers/form-recognizer-container-install-run#billing)\n\n*   [Language Understanding (LUIS)](../luis/luis-container-howto#billing)\n\n*   [Speech service](../speech-service/speech-container-overview#billing)\n\n*   [Language service - sentiment analysis](../language-service/sentiment-opinion-mining/how-to/use-containers#billing)\n\n*   [Language service - Text Analytics for health](../language-service/text-analytics-for-health/how-to/use-containers#billing)\n\n*   [Language service - language detection](../language-service/language-detection/how-to/use-containers#billing)\n\n*   [Language service - key phrase extraction](../language-service/key-phrase-extraction/how-to/use-containers#billing)\n\nImportant\n\nCognitive Services containers are *not licensed* to run without being connected to Azure for metering. Customers need to enable the containers to communicate billing information with the metering service at all times. Cognitive Services containers do not send customer data to Microsoft.\n\nHere's an example of the information that a container communicates for metering:\n\n`{ "SubscriptionId": "Customer subscription ID", "apiType": "textanalytics", "id": "billing id", "containerType": "keyphrase", "containerVersion": "1.1.00864.0001", "containerId": "dep--keyphrase-", "meter": { "name": "CognitiveServices.TextAnalytics.Container.BatchScoring", "quantity": 10.0 }, "RequestTime": "The time at which the billing record was created"}`	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	20	CS FAQ
What is the current support warranty for containers?	Microsoft's standard warranty for enterprise software applies for all containers formally announced as generally available (GA). There is no warranty for previews.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	21	CS FAQ
What happens to Cognitive Services containers when internet connectivity is lost?	Cognitive Services containers are *not licensed* to run without being connected to Azure for metering. Customers need to enable the containers to communicate with the metering service at all times.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	22	CS FAQ
How long can the container operate without being connected to Azure?	Cognitive Services containers are *not licensed* to run without being connected to Azure for metering. Customers need to enable the containers to communicate with the metering service at all times.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	23	CS FAQ
What hardware is required to run these containers?	Cognitive Services containers are x64-based containers that can run any compatible Linux node, VM, and edge device that supports x64 Linux Docker containers. They all require CPU processors. You can find the minimum and recommended configurations for each container offering on these pages:\n\n*   [Anomaly Detector](../anomaly-detector/anomaly-detector-container-howto#container-requirements-and-recommendations)\n\n*   [Computer Vision](https://learn.microsoft.com/en-us/azure/cognitive-services/computer-vision/computer-vision-how-to-install-containers)\n\n*   [Face](https://learn.microsoft.com/en-us/azure/cognitive-services/face/overview)\n\n*   [Form Recognizer](../../applied-ai-services/form-recognizer/containers/form-recognizer-container-install-run#container-requirements-and-recommendations)\n\n*   [Language Understanding (LUIS)](../luis/luis-container-howto#container-requirements-and-recommendations)\n\n*   [Speech Service API](../speech-service/speech-container-howto#container-requirements-and-recommendations)\n\n*   [Language service - sentiment analysis](../language-service/sentiment-opinion-mining/how-to/use-containers#host-computer-requirements-and-recommendations)\n\n*   [Language service - Text Analytics for health](../language-service/text-analytics-for-health/how-to/use-containers#host-computer-requirements-and-recommendations)\n\n*   [Language service - language detection](../language-service/language-detection/how-to/use-containers#host-computer-requirements-and-recommendations)\n\n*   [Language service - key phrase extraction](../language-service/key-phrase-extraction/how-to/use-containers#host-computer-requirements-and-recommendations)	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	24	CS FAQ
Are these containers currently supported on Windows?	Cognitive Services containers are Linux containers, but there is some support for Linux containers on Windows. For more information about Linux containers on Windows, see the [Docker documentation](https://learn.microsoft.com/en-us/virtualization/windowscontainers/deploy-containers/linux-containers).	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	25	CS FAQ
How do Cognitive Services containers compare to AWS and Google offerings?	Microsoft is the first cloud provider to move its pre-trained AI models in containers with simple billing per transaction as though customers are using a cloud service. Microsoft believes a hybrid cloud gives customers more choice.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	26	CS FAQ
What compliance certifications do containers have?	Cognitive Services containers don't have any compliance certifications.	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	27	CS FAQ
What regions are Cognitive Services containers available in?	Containers can be run anywhere in any region, but they need a key and need to call back to Azure for metering. All supported regions for the cloud service are supported for the containers' metering call.\n[How to use Cognitive Services containers in disconnected environments](https://learn.microsoft.com/en-us/azure/cognitive-services/containers/disconnected-containers)	https://learn.microsoft.com/en-us/azure/cognitive-services/containers/container-faq		[]	False	[]	28	CS FAQ
I'm so bored of you	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
That is not exciting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
U basic	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
So dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're not interesting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Could you be any less entertaining?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're so blah	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
This is so boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Lost the election because your speech was too boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
This is so dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
This is so uninteresting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Ugh so boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Ugh, so dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Ur basic	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Ur blah	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Ur gonna bore me to death	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Ur so boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Wake me up when you have something interesting to say	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Watching paint dry is more entertaining than talking to you	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Are you trying to be dull?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
This is not fun	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Fun fact: you are boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Are you trying to bore me?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Basic af	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Be more fun	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Boring af	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Can you be less boring?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Can you be less dull?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Cool story, bro	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Could you be any less exciting?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Could you be any less interesting?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Did you know that you're boring?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Why are you so boring?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Getting tired of you	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Good lord you are dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Holy crap you are boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
I am amazed that you are so boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
I am not enjoying this boring conversation	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
I couldn't be more bored with you	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
I'm falling asleep here	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
I'm not surprised that you are boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
I'm so tired of you	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
I'm tired of you	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Listening to you is like listening to a Ted Talk from the color Beige	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Could you be any more boring?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Were you made to be this boring?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're not entertaining	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're not exciting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're not very entertaining.	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're not very exciting.	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're pretty boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're pretty uneventful	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're pretty uninteresting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're quite boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're quite uninteresting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're no fun	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're so basic	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're making me fall asleep	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're so boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're so dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're so very dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're such a drag	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're such a snooze	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're super boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're the boringest	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're the king of boredom	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're the mayor of boringville	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're the president of boring club	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're the queen of boredom	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're very boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're really boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You could not be more dull.	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Why are you so dull?	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Yawn	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are boring as sin	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are crazy boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are crazy dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are embarrassingly dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Why are you so boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
Talking to you is like watching paint dry.	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
That is boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
That is not fun	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
That is not very interesting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
That is so boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
That is so dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
That is so uninteresting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
This is boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
This is not exciting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
So boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
This is not very interesting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are making my eyes glaze over	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are more boring than watching paint dry	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are so blah	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You are the most boring bot I've ever talked to	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're no fun at all.	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You could not be more boring	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're very dull	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You don't interest me at all	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You honestly could not be more uninteresting	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You really know how to suck the fun out of the room	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're a real snooze	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're as entertaining as watching paint dry	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're basic	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
You're boring me to death	Swing and a miss.	qna_chitchat_Friendly	editorial:chitchat	[]	False	[]	29	
